TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SPRT3B;76,40;;-246,67;-93,02;32.019,68;;;;-283,23;-283,23;0,00;;;-92,75;-32.307,24;0,00;-37,71;-12.980,73;32,84;-344,22;345,22;0,00;;;;-0,82;-0,31;-2,63;370.531.748,80
SQIA3;15,78;0,42;82,68;2,07;0,89;42,65;9,91;2,72;22,71;24,55;1,94;0,18;2,25;-50,40;-1,06;0,90;2,50;1,08;4,65;0,43;0,57;0,40;35,51;17,60;9.138.225,79;7,62;0,19;-4,13;1.381.568.380,12
STBP3;8,13;7,62;16,36;3,36;1,62;45,39;31,20;22,23;11,66;11,21;-0,46;-0,13;3,64;28,40;-2,01;1,41;20,52;9,88;18,61;0,48;0,52;0,44;18,58;;38.161.508,70;2,42;0,50;0,28;7.034.346.803,66
STKF3;0,00;;0,00;0,00;0,00;45,65;33,88;27,59;0,00;2,40;2,40;0,22;0,00;0,00;0,00;2,13;7,42;4,79;4,87;0,65;0,35;0,17;22,63;95,16;;7,05;0,52;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;22,25;0,27;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;98.011.165,19;19,64;0,43;-0,94;9.475.042.424,17
SULA3;7,43;0,27;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;43.292,81;6,55;0,14;-0,95;9.475.042.424,17
SULA4;7,63;0,26;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;90.108,19;6,55;0,14;-0,97;9.475.042.424,17
SUZB3;41,67;5,73;2,36;1,66;0,41;50,19;44,60;46,92;2,48;5,07;2,59;1,73;1,11;2,44;-0,57;2,56;70,50;17,55;15,74;0,25;0,75;0,37;36,49;66,86;230.861.461,30;25,05;17,66;0,01;55.215.704.545,50
SYNE3;3,15;16,64;-8,44;0,19;0,12;43,73;30,12;-12,01;3,36;8,18;4,82;0,27;1,01;1,33;-0,13;4,84;-2,21;-1,40;3,23;0,63;0,37;0,12;1,23;;1.275.962,81;16,87;-0,37;0,08;479.303.557,30
TAEE11;34,83;17,77;8,28;1,83;0,69;80,95;93,30;55,39;4,92;7,81;2,90;1,08;4,59;5,80;-0,84;3,02;22,06;8,37;14,85;0,38;0,62;0,15;19,43;17,46;76.508.632,19;19,07;4,21;-0,24;11.995.451.941,74
TAEE3;11,60;17,79;8,27;1,82;0,69;80,95;93,30;55,39;4,91;7,81;2,90;1,08;4,58;5,80;-0,84;3,02;22,06;8,37;14,85;0,38;0,62;0,15;19,43;17,46;2.160.158,14;6,36;1,40;-0,24;11.995.451.941,74
TAEE4;11,68;17,67;8,33;1,84;0,70;80,95;93,30;55,39;4,94;7,81;2,90;1,08;4,61;5,84;-0,85;3,02;22,06;8,37;14,85;0,38;0,62;0,15;19,43;17,46;4.716.075,21;6,36;1,40;-0,24;11.995.451.941,74
TASA3;15,55;10,45;3,79;1,92;0,87;45,69;29,95;20,47;2,59;2,91;0,24;0,18;0,78;4,20;-2,44;1,47;50,77;22,84;34,88;0,45;0,55;1,12;29,58;;527.208,56;8,09;4,11;-0,21;2.031.295.922,80
TASA4;16,04;10,13;3,91;1,98;0,89;45,69;29,95;20,47;2,67;2,91;0,24;0,18;0,80;4,33;-2,51;1,47;50,77;22,84;34,88;0,45;0,55;1,12;29,58;;10.124.535,30;8,09;4,11;-0,22;2.031.295.922,80
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;4.272,71;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;12.175,76;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;2,77;;195,14;0,33;0,13;11,72;9,55;0,44;9,00;28,77;19,74;0,72;0,86;0,33;-0,27;3,64;0,17;0,06;1,20;0,39;0,61;0,15;-5,08;;319.821,88;8,45;0,01;-1,94;204.661.459,40
TECN3;3,03;2,71;5,52;0,60;0,34;54,25;15,83;11,37;3,96;4,22;0,25;0,04;0,63;0,67;-0,98;4,84;10,94;6,21;10,28;0,57;0,43;0,55;0,65;;1.661.243,60;5,02;0,55;0,13;221.026.893,60
TEKA3;8,23;;-0,04;0,00;0,00;19,45;6,80;-39,90;0,24;34,10;33,71;;0,02;0,00;0,00;0,04;-5,61;-9,53;-1,22;-1,70;2,70;0,24;7,53;;816,00;-3.661,67;-205,31;0,00;6.899.990,85
TEKA4;16,46;;-0,08;0,00;0,01;19,45;6,80;-39,90;0,47;34,10;33,71;;0,03;0,00;-0,01;0,04;-5,61;-9,53;-1,22;-1,70;2,70;0,24;7,53;;15.823,08;-3.661,67;-205,31;0,01;6.899.990,85
TELB3;17,10;;-11,57;0,89;0,37;-53,90;-10,84;-36,72;-39,16;-9,81;27,08;-0,61;4,25;1,22;-0,59;4,75;-7,68;-3,16;-2,08;0,41;0,59;0,09;36,54;;48.183,82;19,26;-1,48;-16,43;1.391.529.582,31
